,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
485, on 12/30/17 16:26 PM (PST),Alexander Todorov ,2018 Nissan Rogue SUV SV 4dr SUV (2.5L 4cyl CVT),Not impressed at all," I rented a Nissan Rouge for a week, during the winter season.  The heating is horrible compared to Toyota. I have driven the car on a highway mostly using the ECO mode, and have never reached 33mpg. The acceleration is terrible very slow comparing to the same SUV models. To connect my iPhone with a Bluetooth was a kind of pain till I figure out that the name is not My car it's my Rouge. To turn off daily highlights was a kind of tricky and overcomplicated. I definitely will not consider buying Rouge.",2
486, on 12/15/17 16:19 PM (PST),John Ho ,2018 Nissan Rogue SUV SV 4dr SUV AWD (2.5L 4cyl CVT),"Hastily assembled, hastily designed"," This vehicle was not thought out, designed, or assembled very diligently. My review is based on an all day test drive of the top of the line SV. The dash looks nice but peering around the rest of the interior, my eyes were drawn to poor fit and finish of several of the plastic interior panels. The interior feels closed in with huge C and D pillars that severely block rearward visibility. The more time I spent in it, the more design oversights I noticed. The sunroof is too far back and small, the exterior dimensions lead you to think the interior is roomy but it is small in ratio to the exterior. The backseat comfort seems like an afterthought. Spend 10 minutes sitting in the back and you realize it is not for long jaunts.  The seating position puts your knees upwards and the visibility out the sides, front and rear is obstructed. It was loud back there too on the freeway. On the exterior, the paint had lots of orange peel, there were panel fitment issues, and uneven gaps. On the road it was a pleasure to corner, steer, brake, and accelerate with a good road feel. However, there was pronounced tire/ wind/ road noise most notably when riding in the back seat as a passenger where it was much louder and difficult being part of the front seat conversation.  Under the hood was not well laid out. The engine was less than an inch from the passenger side frame rail and and the whole layout of lines and hoses looked like a thrown together mess. A better vehicle for the money this is not.",2
487, on 12/08/17 13:12 PM (PST),Roger f. Kane ,2018 Nissan Rogue SUV S 4dr SUV AWD (2.5L 4cyl CVT),Nice car, Great deal for the price,5
488, on 12/02/17 17:36 PM (PST),Jack paugh ,2018 Nissan Rogue SUV SV 4dr SUV (2.5L 4cyl CVT),Unbelievable," My big thing is no digital speedometer? With all the technology,no digital reading on speedometer. Has a digital average speed though! Rest of car is basic. Great gas mileage, and that is what I was wanting .  Road noisey at higher speeds.   I have owned most of simulator suv's Honda,Toyota,gmc ,Subaru all have some hold backs.",3
489, on 08/07/18 19:17 PM (PDT),slpatl ,2011 Nissan Rogue SUV SV 4dr SUV (2.5L 4cyl CVT),CTV FAILURE AT 48k, 2011 with transmission fail. I can drive my car for now but the noise is horrible when off the gas and beginning to idle and at low to mid range speeds. Nissan service dept. said it is in poor condition and wants to charge $4K to replace. Same cars with CVT technology (2003 to 2010 models and then jumps to 2012 and later models) have extended warranties of 120k miles or 10 years. My car falls well within these limits. I don’t understand why 2011 is not included. I’ve opened an out of warranty case with Nissan Cusumer Affairs and am awaiting their reply. I will be sure to update on the outcome. I am hoping they do the right thing.,1
490, on 07/24/18 18:11 PM (PDT),zeke ,2011 Nissan Rogue SUV S 4dr SUV (2.5L 4cyl CVT),trasmission problem, cvt  transmission not good,3
491, on 06/01/18 13:22 PM (PDT),SA Vincent ,2011 Nissan Rogue SUV SV 4dr SUV (2.5L 4cyl CVT),Three is the charm," Price I paid was $10,000 PLUS trade-in. Am planning on getting another Rogue next year",5
492, on 05/17/18 18:34 PM (PDT),CW ,2011 Nissan Rogue SUV S 4dr SUV AWD (2.5L 4cyl CVT),Faulty door locks, Trouble with 2 door locks and windshield washer sprayer quit working.,3
493, on 04/27/18 07:33 AM (PDT),Qing Pan ,2011 Nissan Rogue SUV S 4dr SUV AWD (2.5L 4cyl CVT),NISSAN CVT Transmission Failed," Stay away, the CVT transmission at Nissan is not reliable",1
494, on 03/29/18 14:12 PM (PDT),Rocco ,2011 Nissan Rogue SUV S 4dr SUV AWD (2.5L 4cyl CVT),Happy Peppy, Looks modern,5
495, on 03/24/18 10:37 AM (PDT),Bearman15 ,2011 Nissan Rogue SUV SV 4dr SUV AWD (2.5L 4cyl CVT),Constant repairs," The size is perfect, and the SV 2011 I purchased (in 2013) came with many features for a reasonable price. However, with under 53,000 miles, the washer fluid pump has been replaced twice, cv boot, belt, mass airflow sensor, HID bulbs...it never stops.",2
496, on 02/19/18 18:55 PM (PST),Gary W. Dillon ,2011 Nissan Rogue SUV S Krom Edition 4dr SUV (2.5L 4cyl CVT),Very bad quality and warranty for the price.," I have a 2011 Rogue Krom Edition with 21500 miles. It is garage kept and washed and waxed regularly. When I first purchased I took it to the dealer about a blemish on the hood and was told that it was not a warranty situation. I have 1 payment remaining and I took it back to dealer again about paint, rust, and chrome coming off my wheels. The dealer took pictures and again Nissan denied this. I have a 2002 Ford Taurus with 98800 miles that stays outside and it looks better than my 2011 Rogue. This is the first and last Nissan for me. I will buy American and nothing else from here on out. Don't buy Nissan because they won't honor their Warranty.",1
497, on 01/30/18 13:50 PM (PST),Chris ,2011 Nissan Rogue SUV SV 4dr SUV (2.5L 4cyl CVT),Stay away from Rogue," Own a 2011 rogue.  Had it for 2 years, less than 100k miles and the tranny went.   Called Nissan, basically told me to keep walking.  Nissan uses cvt transmissions and they are garbage.  Read the reviews.  2011, 2012, 2013.  I always viewed Nissan as a leader in cars.  I'll never buy one again.  You've been warned.",1
498, on 12/28/17 11:56 AM (PST),Diana Serna ,2011 Nissan Rogue SUV S 4dr SUV (2.5L 4cyl CVT),BAD TRANSMISSION," 2011 rogue 75m. Bad transmission,  rogue has a bad reputation on malfunction transmission, even sues due to this issues from 2005 to 2010",2
499, on 12/19/17 05:54 AM (PST),Trisha9254 ,2011 Nissan Rogue SUV SV 4dr SUV AWD (2.5L 4cyl CVT),Pleasantly surprised with a dark purple Rogue," I begun test driving the most popular SUVs when my niece told me why don't I test drive a Nissan Rogue. I happen to find a dark purple Rogue at a local car dealership and I decided to give it a drive. I was pleasantly surprised with it. It passed my seat belt test (you know the struggle ladies) and can fit a good size water bottle. It also passed my headlight notification test (you know the struggle old Civic owners). I fell in love with all of the bells and whistles, like USB port, all the buttons on the steering wheel and navigation system at a great price of $12,600. Most used popular 2011 SUVs with all bells and whistles still cost around $15,000. My only complaint is the CVT transmission, may take awhile to accerlerate on the highway which I didn't have the chance to drive on during the test drive. Sadly, this Rogue alluded me as someone else beat me to the purchase. But now the Nissan Rogue is on the top of my SUV shopping list.",5
500, on 03/26/17 08:56 AM (PDT),Barbara Morse ,2011 Nissan Rogue SUV S 4dr SUV (2.5L 4cyl CVT),I love the Nissan Rogue, Really nothing.,5
501, on 01/31/17 14:39 PM (PST),Wayne Goss ,2011 Nissan Rogue SUV SV 4dr SUV (2.5L 4cyl CVT),Catchy," Great car! Not too big, not too small. Looks good, drives well, very efficient gas mileage.",5
502, on 01/15/17 18:09 PM (PST),Katherine.roth@hotmail.com ,2011 Nissan Rogue SUV SV 4dr SUV AWD (2.5L 4cyl CVT),Loved my Rogue..," I bought a 2011 Rogue sv in April of 2013. It had 80,000 miles on it when I purchased it and im not sure of anything that happened with it before I purchased it. I love my Rogue to this day! I recently sold it in December 2017 because the transmission went out at 176,000 miles. I was quoted $5,000 to get it fixed and it was only worth $3,000 to $5,000 in great condition with the amount of miles on it so I sold it to a friend.there are so many wonderful things about this car. I'm only going to talk about the few negatives so just assume everything else is awesome because it is. One negative is about a year ago the paint started chipping off the front bumper and within about a year of it chipping I'd say about half of the paint on the front bumper is gone. Another negitive is it was only 6 years old and there is now rust inside the door on the back passenger door and around the license plate holder on the back and everywhere that gets little nicks. Bad quality of metal I'd say but I do live in Wisconsin so location location location.  There's a super tight squeeze between the two fron seats and the center council so if anything ever falls down in there it's gone forever.. Im just kidding. But your hand will not fit to get it out. You will have to get out and menover the seat and get all up in there. Another negitive is there are no heat/ac vents in the back for your passengers. The only other thing I can think to add is the trunk is too small for my liking and that's just a personal preference and I should have bought a bigger vehicle. For every negitive you just read I would have 38474838375 positive things too say about my old Rogue, just remember that. I've been car shopping now for 4 weeks and I've decided to just upgrade to a newer 2013 Rogue with all the bells and whistles. I'm going to have to leave things behind when vacationing again but I loved that car and I'm so snappy to be getting another one. Hopefully this next one does me well too. Ohh yeah and one more thing.. Biggest glove box ever GARENTEED! You could fit a 12 pack in there in the box I swear.. it's huge.",5
503, on 11/17/16 15:48 PM (PST),Debra Stafford ,2011 Nissan Rogue SUV S Krom Edition 4dr SUV (2.5L 4cyl CVT),I actually like this car.," After reading all the other bad reviews... I was hesitant to jinx the good experience I've had! I bought it used with 20,000 miles on it. It now has 73,000 miles and all is well! The repairs I have had to put into it are pretty normal and expected from all cars. I actually love this car. I used to own many Jeep Cherokees before this and my troubles were many! I paid my dues! Just glad to catch a break with this one...so far so good :)               As an update on my original reveiw...It is now months later, my Rogue has 96,000 or so miles on it (I do a lot of driving), and I still have no complaints. The usual repairs as with all cars...brakes, tires, oil changes, some front end parts which do wear out on anything. Still happy.",5
504, on 08/25/16 15:17 PM (PDT),Selena ,2011 Nissan Rogue SUV S 4dr SUV (2.5L 4cyl CVT),You Get What You Pay For," I bought this car in 2013 used with 50,000 miles on it from one owner for 12k. I change the oil on it every 3,000 miles and do a yearly general maintenance (not including repairs... of which I do plenty).Pros: (1) Accelerates quickly, (2) brakes quickly and well, (3) handles tight curves well when driving, (4) good size for a crossover, (5) big trunk. Cons: (1) I’ve had a transmission problem for about 2 years now (at 60,000 miles)- I blame the Continuous Variable Transmission… the car basically stops accelerating whenever I go steadily over 65 MPH- which is really dangerous on busy highways, and has become a huge problem for me especially after I hit 90,000 miles, (2) for a 2011 car, the insides are the bare minimum- it doesn’t have USB ports or electric seat adjustments, (3) seats aren't that comfortable and backseat passengers tend to feel squished, (4) it’s a gas guzzler- it has a low MPG and a 15.9 gallon tank so I’m constantly filling it up, (5) poor driver peripheral visibility- I literally have to crane my neck to check the road because of the interesting angle of the A pillar, (6) as strange as this sounds, it has a ‘soft’ metal frame- by that I mean that any little ding on the body leaves it scratched at best, dented at worst.All in all, it’s a decent when driven as a local, low mileage car, but I drive a lot and I wouldn’t suggest it to anyone who does a lot of driving. I’ve spent almost as much on repairs on it as I did buying it.",2
505, on 08/15/16 10:08 AM (PDT),Adam ,2011 Nissan Rogue SUV S 4dr SUV (2.5L 4cyl CVT),BAD TRANNY POOR CUSTOMER RELATIONS HELP," My son bought my 2011 Nissan Rogue with 32,000 miles on it, has it regularly serviced the other day the check engine light came on with only 68000 miles on it. He took it to a Nissan dealership, the service manager told him the tranny (problematic cvt tranny nissan knows about) was needed to be replaced. Oh by the way it was 5600$  dollars to replace. He called nissan for any type of assistance and Nissan rep was not only rude but very unwilling to talk to him, all he kept sorry I understand how you feel. This is our 5th Nissan and he didnt care just kept reading from a script sounded like. A car with Nissan supposed quality and known transmission problems you would think they would help in some manner",1
506, on 08/11/16 19:30 PM (PDT),Brandi ,2011 Nissan Rogue SUV S 4dr SUV (2.5L 4cyl CVT),Transmission Is not repairable, Stay far away from this car. My transmission is shot for the 2nd time and Nissan is doing nothing about it. They've known about it for years and take no accountability. LEMON!,1
507, on 07/25/16 08:22 AM (PDT),Brenda ,2011 Nissan Rogue SUV S Krom Edition 4dr SUV (2.5L 4cyl CVT),Super Comfy," I have only had this car for a month and so far I love the seats and the comfort of the interior.  It has a bigger engine than my Mazda CX-5 but the gas mileage is terrible.  I am getting 17.5 city and maxed out at 26.5 on a short road trip.  What!?!  Oh and the backup camera is useless during the day.  So much glare on the screen I can't even see it. So that coupled with the blind spots you'd better get used to craning your neck.  Oh and the gear shifter gets stuck in park sometimes.  It was fine the first week, the second week was stuck every single time. And now seems to be fine again.",4
508, on 03/29/16 09:54 AM (PDT),Tom Olzak ,2011 Nissan Rogue SUV S 4dr SUV (2.5L 4cyl CVT),STAY AWAY!!!, I bought this car used with 38000 miles on it.  I drive about 12000 miles a year and have had the car a bit longer then 2 years and the transmission needs replaced (there are 64000 miles on the car) The initial warranty expired after 60000 miles.  The Rogue's transmission was problematic for years 2002-2010 to the point that there was a class action suite filed against Nissan and as a result they extended the warranty on the transmission for those years to 120000 miles.  I was happy with the car till this.  Never again will I buy another Nissan or any car with the CVT transmission.....,3
509, on 02/29/16 04:59 AM (PST),Nellie ,2011 Nissan Rogue SUV S 4dr SUV (2.5L 4cyl CVT),CVT Transmission is awful!!!," I bought a used Rogue a little over a year ago.  It had 45,000 miles on it.   The transmission started making a weird whining noise this summer.  I googled the issues and was shocked to see the list of issues with the CVT transmission.  I ended up bringing it into to Nissan and was told that sometimes with the heat the CVT transmissions will whine but to have the fluid levels checked often.  It did stop whining when it got colder and I have the fluid levels checked when I get my oil changed.  Well today out of no where my transmission went.  I wish I had researched a little more before buying this vehicle.  A quick search will show pages of complaints on these transmission.  It's a clear problem.  Don't buy!!",2
510, on 02/14/16 10:23 AM (PST),Wayne ,2011 Nissan Rogue SUV SV 4dr SUV AWD (2.5L 4cyl CVT),11 rogue, ,4
511, on 10/11/15 12:31 PM (PDT),MG ,2011 Nissan Rogue SUV S Krom Edition 4dr SUV AWD (2.5L 4cyl CVT),"3rd nissan, GREAT ride"," I have owned a '99 Maxima, a 2009 Altima, and now a 2011 Rogue Krom AWD edition. All my Nissans have been great vehicles. The Rogue has been my favorite, as living in New England an AWD vehicle is a must. The ride is extremely smooth and often pasengers ask if it's even on when at a stop. I bought this car used with 47,000 on it from a 1 lease owner. 3 years later I'm at 102,000 miles with nothing more than regular oil changes. I just had the breaks done and will put new tires soon as winter approaching. But After 3 years, that's not bad at all. The car is great on gas, and has an extremely comfortable interior from front to back. Lots of space in trunk area, just overall a great ride if you want an SUV without the big engine/big gas expense. I would compair the ride almost identical to that of the Altima, but with AWD. GREAT car for sure",5
512, on 10/05/15 12:01 PM (PDT),Jill Grey ,2011 Nissan Rogue SUV SV 4dr SUV AWD (2.5L 4cyl CVT),"So unreliable,Nissan doesn't even stand behind it!"," Don't buy it! After 4 years and 120,000 miles the drive shaft fell off due to poorly made universal joint. Nissan will not sell the joint, only entire drive shaft with joint attached. 2 months later the transmission blew while driving with my children in the car leaving me in the middle of the road and the car wouldn't move! Nissan says too bad because the warranty was up at 60,000 miles. I've had the transmission serviced as they recommended and that was supposed to extend the life. Ha!",1
513, on 08/05/15 20:52 PM (PDT),Andrzej ,2011 Nissan Rogue SUV S 4dr SUV (2.5L 4cyl CVT),CVT Disaster, Chronic CVT problem on the 2011 Nissan Rogue during warranty. @TemeculaNissan didn't diagnose until warranty ended - now unwilling to repair. $4000 repair.,3
514, on 04/17/15 15:17 PM (PDT),James McKinney ,2011 Nissan Rogue SUV S 4dr SUV (2.5L 4cyl CVT),2011 Rogue Review," I've had my Rogue for 4 years. I just turned 73K without a problem. The vehicle drives just as well now as the day I bought it. I have had several vehicles in my lifetime and I rate this car/SUV near the top of the list. I use the vehicle to commute to work and have taken it on a few vacations without a hitch. My wife liked the Rogue so well that I bought her a 2012 model. It has plenty of power and the CVT is very smooth. You cannot tell that the vehicle is shifting like you do with a regular automatic transmission. There is plenty of room inside. I am 5' 11"" tall. It may not suit someone much taller though. Plenty of room to haul groceries, etc. Cruise control and A/C work well.   Updating my review. Have had the vehicle for 110,000 miles with no problems. Good vehicle.",5
515, on 02/19/14 19:55 PM (PST),bleedblue165 ,2011 Nissan Rogue SUV SV 4dr SUV AWD (2.5L 4cyl CVT),Lemon that Nissan has yet to fix or replace," Would NOT buy again. This was our second Rouge and wife loved Nissan, until 1 year after purchase. Began having severe mechanical problems & Auto Centers Nissan, Woodriver Illinois was unable to fix the problem. They contacted the engineering department at Nissan, they were told only 1 other vehicle had ever exhibited these problems. The vehiclefrequently hasa bucking or jerking motion, as if the transmission was slamming in to gear. It did this to their mechanic and shut down on him while he was driving, as well as eventually shutting down on my wife while she was on the interstate in downtown St. Louis, Mo. Hasn't been fixed and Nissan has refused to replace.",2.5
516, on 01/31/14 13:37 PM (PST),metalskeleton ,2011 Nissan Rogue SUV SV 4dr SUV AWD (2.5L 4cyl CVT),Nissan delivers with the 2011 Rogue," I have the SL package (nav, leather, roof rails, fog lights, etc.). I bought my Rogue used about 8 months ago with fairly high freeway miles. I absolutely love this car! Acceleration is much better than I expected for a 4 cylinder and it has no problem powering up hills. The steering is remarkably agile and responsive for a small SUV and really is confidence-inspiring. Interior is sharp, clean and VERY comfortable. At this price point, you shouldn't expect a car to be silent, smooth, and a sharp steerer, but the Rogue balances these tasks impressively. CVT is somewhat noisy, but who cares?! Crank some tunes and enjoy the ride. I have nearly 80K miles now, and it still drives wonderfully!",4.875
517, on 10/11/13 09:39 AM (PDT),vicjosh ,2011 Nissan Rogue SUV SV 4dr SUV AWD (2.5L 4cyl CVT),This Car Sucks , i bought a 2011 nissan rogue thinking i'd made a good investment. within 1 yr the cvt in the transmission went out while i was driving onthe interstate barely making it to safety. i called Nissan Consumer affairs to be advised that the 2011 model is not under the extended warranty and given a 3500 est of repair.. help anyone is there any petition to get this vehicle recalled or is there an open class action suite filed... any help would be appreciated ,1.5
518, on 05/31/13 15:28 PM (PDT),jeep53 ,2011 Nissan Rogue SUV SV 4dr SUV AWD (2.5L 4cyl CVT),"Not too bad after 36,000 miles."," Well, I decided to write another review after 36,000 miles on my Rogue SL.I wrote my first review when I first bought the car.Overall, it's been a pretty good compact SUV.The gas mileage could be a little better.I never get when they advertised it for. I average about 24 miles a gallon.I my opinion,I feel that the car scratches way too easily, especially on the driver's side door panel.I have scratches on the outside, too, that I have no idea where they came from.The leather seats are pretty comfortable and the GPS works quite well. The Bose radio sounds very good to me.The rearview camera works well and is a must in this car with all the blind spots.",4
519, on 05/01/13 17:59 PM (PDT),aam_flipp ,2011 Nissan Rogue SUV SV 4dr SUV AWD (2.5L 4cyl CVT),"Great Car, Needs improvements. "," I recently just traded this car in for a 2010 Lexus RX 350. This is a good car to start off with if you ever want to try out a Nissan. I enjoyed this car. In the snow, it's nimble and fun to drive around with, but driving up a snowy mountain pass with a full car didn't provide much of a driving experience. The horsepower was pathetic, and getting up to highway speeds is a large task for the Rogue. The one thing I heavily dislike is the CVT transmission. They told me that the CVT holds gears for more power, but I felt that no matter where my foot was pressed on the accelerator panel, it would not go any fast.Overall though, this was a good car and I definitely wouldn't mind having one again. ",4.25
520, on 12/20/12 18:34 PM (PST),pcappello ,2011 Nissan Rogue SUV SV 4dr SUV AWD (2.5L 4cyl CVT),The Car is a Lemon, Since April of 2011 I have had my car into Nissan for auto lights not functioningmy ipod turns on when the audio is off and the electronic driver seat moves forward by itself. This has been reported and supposedly services more than 10 times already happening. Saturday all my dashboard settings changed by themselves and my trunk wouldnot open even though my engine was on. On Sunday myengine locked and my smart key nor the key would unlock the steering column.I was out of state&had to have it towed to a dealer where they claim it is all due to an undersized battery.hello- it is the factory battery. DON'T Buy this car nor any NISSAN as they do not stand behind their service not the,2.125
521, on 09/30/12 12:17 PM (PDT),jcnninin ,2011 Nissan Rogue SUV SV 4dr SUV (2.5L 4cyl CVT),I felt comfortable the first time I drove it....," I bought a used 2011 Rogue with 28,000 miles on it, a ""program car"" in excellent shape. I test drove the Honda CR-V, RAV4, Altima, andbrand new Rogues, but for some reason when I drove this one, it felt like ""my car."" It just fit.The ride is nice and smooth even with the 4-cylinder (I'm used to driving full-sized V-8's).It has quick response in the 25-45 MPH range that makes moving around in traffic very easy.I guess you could call it ""nimble.""Gas mileage is very good, but not great. After driving 900 miles (mostly city driving), I'm getting about 24.2 MPG. I have XM satellite radio, which rocks. More roomy inside than it looks. All in all, I love it.",4.125
522, on 07/04/12 15:30 PM (PDT),jmg1977 ,2011 Nissan Rogue SUV SV 4dr SUV (2.5L 4cyl CVT),Very Impressed after 15K miles," This is actually my wife's car, but I am often ""allowed"" to drive it.We also use it on long trips from North Carolina to the midwest.Since purchased, it has had absolutely no problems or defects whatsoever, a first for any car I have ever purchased new.The fuel economy is excellent in city driving (25) and decent on the highway (30).Like the interior and exterior styling.Plenty of leg room, even in the back, for its size.Fit and finish is good, and it performs well for only having a 4 cylinder motor.I wouldn't hesitate to recommend it to someone looking for a good midsized SUV that gets sedan mileage.",4.625
523, on 06/03/12 19:21 PM (PDT),pagoss ,2011 Nissan Rogue SUV SV 4dr SUV AWD (2.5L 4cyl CVT),Good Value!," Bought it new. We now have 11,500 miles. We traded in a 2010 Altima, for the security of AWD. My wife then decided she would rather have the comfort of the Altima, so we just bought a 2012 Altima. I inherited the Rogue, LUCKY me!!! My only negative is the noise of the CVT in the Rogue. No noise with the CVT in the Altima. It is also a bit cramped driving for a 6'3"" 300# guy. Everything works fine, but I am starting to hear a few rattles as mentioned in earlier comments. I will keep my ears open!!!I would get a sun roof if I bought another.",4.375
524, on 01/02/12 17:02 PM (PST),teflon1968 ,2011 Nissan Rogue SUV SV 4dr SUV AWD (2.5L 4cyl CVT),"Very Early, but Like it So Far!"," Alright, I've only had my Rogue for about 4 days now.I had leather seats installed (but not the $3800 SL package).The ride is pretty smooth for an SUV; looks sharp; accels well; breaks on a dime.Very small issues I have with it: Bluetooth is not as comprehensive as say the Honda systems.For instance, you cannot listen to music from your phone via BT.Setting phonebook data is a pain if you have multiple numbers for one contact.Not a lot of gadget space; USB & alt 12vlt are in bottom of the center arm rest--so if you put anything in it, you're covering the outlets--bad design.Again, little things.This is my first post; I'll update as I have it longer...hopefully it will be good",4.5
525, on 11/20/11 17:33 PM (PST),navetx ,2011 Nissan Rogue SUV SV 4dr SUV (2.5L 4cyl CVT),Good Vehicle," My SL Rogue is a very good vehicle. I bought it for a daily driver but wanted it loaded. While it has almost everything, it really needs a home link option, a rubber pad for the left foot rest and a bigger screen for the nav/back up display.Other than those issues, the Rogue delivers.It's very quiet for a small SUV, and cruzes well on the highway.Also, after 10,000 miles in 6 months, I'm getting over 25 combined city/highway mileage.",4.625
526, on 11/19/11 08:18 AM (PST),fayettedale ,2011 Nissan Rogue SUV SV 4dr SUV AWD (2.5L 4cyl CVT),Not impressed," I have owned my 2011 SV AWD for 3 months now. I have put 2300 miles on it and keep it the garage and baby it. The interior build quality is spotty at best. I had to have the instrument cluster replaced because of a rattle inside the cluster. The stereo rattles in the center console. There other rattles throughout the cabin, very disappointed in the build quality. The CVT is horrible. It is very noisy and doesn't really help fuel economy, I average 24.6 mpg. I would take this back in a minute and buy something else if I could.On the bright side, it does feel and drive like a sports car. Very smooth ride, as long as the road is smooth and the stereo is very good.",3.5
527, on 10/24/11 18:35 PM (PDT),seasidemom ,2011 Nissan Rogue SUV SV 4dr SUV AWD (2.5L 4cyl CVT),"Sporty and Comfortable, Bad Visibility"," Rear visibility and rear side visibility out the little rear corner windows is just awful. The head rests are so big it is hard to see looking back. The moonroof/sunroof cover does not retract fully to provide full view of opening. The CVT engine is definitely noisy even when you are just accelerating around town. Very bothersome. I am used to not hearing such a noisy engine. Once you have accelerated and are at cruising speed it is fine, but getting there is loud. I will say that driving the Roque is fun, and comfortable and sporty and zippy. I really do like driving it on the highway, around winding roads and everywhere. If not for the noise and esp. the visibility, it would be great. ",4.125
528, on 10/15/11 20:27 PM (PDT),sghill1 ,2011 Nissan Rogue SUV S 4dr SUV AWD (2.5L 4cyl CVT),2011 brand new," Purchased the car today (10-14-11) with 100 miles on it.Off the lot for 22,000.3,000 less than Honda, Toyota and 5k less than Subaru.Pretty well equiped and gives a great ride.""Rubber band"" transmission runs very well at 75 mph on the freeway.",4.25
529, on 09/17/11 18:21 PM (PDT),swimcoach78 ,2011 Nissan Rogue SUV SV 4dr SUV AWD (2.5L 4cyl CVT),Rogue after 8 months- honeymoon over!, I enjoy the rogue as a basic 4 door mini-suv. It rides well and handles well on highways and streets. If I could do it all over again I would have bought a different vehicle. The fit and finish are sot up to par. The car rattles when its cold outside. The engine is loud. I am still not used to blindly backing up nor am I used to the large turning circle. Both car keys are dead and I can only open the car from the driver's door. Not fun when I have my kids with me or if I need to put a bag in my trunk from a store. I got stuck in my driveway in 6 inches of snow. If I could do it all again I'd get a VW Jetta wagon or the Suzuki Kizashi. I don't need to sit higher. I need something to last,3.5
530, on 08/01/11 18:12 PM (PDT),aesgemini529 ,2011 Nissan Rogue SUV SV 4dr SUV (2.5L 4cyl CVT),Fantastic!," There isn't much I don't love about this car. I've had it for 8 months now and I have the SV/SL ""everything"" package. The leather is nice, my friend says the seats are more comfortable than in her CR-V. I'm slightly disappointed with the gas mileage, but I have a lead foot (20/22 city with AC in Texas heat, 28 tops highway). I went from a 2000 Cavalier, so I really love sitting up higher, and the sunroof and back-up cam are must haves. It is very quiet, and it doesn't feel too large unlike some others in the category. Accessories feel high-quality, not cheap.",4.75
531, on 07/26/11 14:28 PM (PDT),rogueman41 ,2011 Nissan Rogue SUV SV 4dr SUV AWD (2.5L 4cyl CVT),2500 Mile Mark - Update," After 2500 miles, I'm still enjoying my Rogue.Finally getting used to the CVT.It could use a little more power.It scoots around town just fine.Passing and entrance ramps are another story.Maybe with the next re-design, they will address that issue.If they would just figure out a diesel option for this vehicle, the low end torque would be awesome.Ride is just ok for a crossover....many times you can tell you're in an entry level vehicle (although it really doesn't LOOK entry level).I get a lot of complements on it.But you can usually hear and/or feel small road imperfections.Gas mileage has been right around 25mpg (combined city/hwy).",4.5
532, on 07/18/11 15:20 PM (PDT),moparmanttc ,2011 Nissan Rogue SUV S 4dr SUV (2.5L 4cyl CVT),Good Gas Mileage And Features For The Money., We have this model rogue which is the two wheel drive s-model for a month and a half. It has been great so far the front seats are comfortable and the ride is pretty good. We took it on a trip and managed to get 29.5 miles to the gallon and that is with the air conditioning on. With the seats down cargo room is really good. You get a lot of features with the s model front wheel drive. You will find the price hard to beat especially if you try to get and American made vehicle which you will have to shell out $3000 to $6000 more to try and match the rogue.,4.125
533, on 07/13/11 10:19 AM (PDT),car_lady ,2011 Nissan Rogue SUV SV 4dr SUV AWD (2.5L 4cyl CVT),Love the Rogue," I have driven Ford vehicle for most of my driving life and I test drove an Ford Edge, felt like I was driving a mini-van and the Ford Escape, felt like I was driving a truck. So, next I test drove a Hyundai Tuscon, actually several times, and just could not get comfortable driving it.The sales person suggested I try the Nissian Rogue. When I first saw it I loved the body style and then I test drove it and I was conformtable driving it because it felt like I was driving a car.I am come up on 16,000 miles and have not had a problem with it. Great gas mileage and handling in the snow. Great sound system and all around great car.Love the back up camera and of course the sun roof.",4.5
534, on 06/17/11 12:24 PM (PDT),rogueman41 ,2011 Nissan Rogue SUV SV 4dr SUV AWD (2.5L 4cyl CVT),New Rogue Owner," At the 500 mile mark, I'm happy to report I'm enjoying it so far.Comfortable ride for the most part....may be harsh for some.You do hear most imperfections in the roads and it's kind of noisy on wet pavement.Decent acceleration.Sharp handling with speed sensitive steering.Easy to maneuver and move in and out of traffic.CVT is cool, but takes some getting used to.SL Package added a lot of great features, although the Nav system data is way out of date.Intelligent key is cool, but beware if Nissan installs an aftermarket remote car starter for you.The engine will shut off if you open the doors after starting with remote starter.",4.125
535, on 06/17/11 09:31 AM (PDT),nissmazlover ,2011 Nissan Rogue SUV SV 4dr SUV AWD (2.5L 4cyl CVT),"Finally have a Nissan, and it's a winner: '11 Rogue SV AWD w/SL Package. :)"," Proud new owners of a Black Amethyst 2011 Rogue SV AWD w/ SL Pckg.Favorite thing about it is it's beautiful color!It has touches of black, purple and brown, looks different in all types of light and is gorgeous!The rest of the car is great, too!We're amazed at how much you get for the $ - it's LOADED!IMO, it's the best looking CUV in its class, feels far more expensive than it is, it's refined, comfortable, roomy, powerful (feels more powerful than the specs suggest), feels solid, the CVT is an actually interesting affair, and it's fun-to-drive.Have had 2 Mazda 5's that I LOVED, but have always wanted a Nissan, too, and now we have a winner w/the Rogue!",4.625
